subjID,experimentName,versionName,windowWidth,windowHeight,screenWidth,screenHeight,startDate,startTime,pracTries,trialNum,objectSize,objectCategory,object,misscaled,objectScene1SemanticCongruency,scene1ZoomName,scene1Category,scene1,keyPress,accuracy,RT,ratingTrialNum,rating,ratingObject,ratingScene,experimentTime,totalTime,age,gender
986867,OSSe4,v1,1512,865,1512,982,5-15-2023,10-52-42,1,2,small,kitchen,saltshaker.png,misscaled,1,zo,kitchen,k4_zo.png,c,1,711,2,3,saltshaker.png,k4_zo.png,162183,288467,34,Man
986867,OSSe4,v1,1512,865,1512,982,5-15-2023,10-52-42,1,3,small,kitchen,spoon.png,misscaled,0,zo,classroom,c0_zo.png,m,1,863,3,4,spoon.png,c0_zo.png,162183,288467,34,Man
986867,OSSe4,v1,1512,865,1512,982,5-15-2023,10-52-42,1,4,large,bathroom,loofah.png,scaled,0,zo,classroom,c2_zo.png,m,1,776,4,5,loofah.png,c2_zo.png,162183,288467,34,Man
986867,OSSe4,v1,1512,865,1512,982,5-15-2023,10-52-42,1,5,small,laundromat,tidepod.png,misscaled,1,zo,laundromat,l4_zo.png,c,1,830,5,3,tidepod.png,l4_zo.png,162183,288467,34,Man
986867,OSSe4,v1,1512,865,1512,982,5-15-2023,10-52-42,1,6,large,classroom,computer.png,misscaled,0,zi,bathroom,b5_zi.png,m,1,689,6,4,computer.png,b5_zi.png,162183,288467,34,Man
986867,OSSe4,v1,1512,865,1512,982,5-15-2023,10-52-42,1,7,small,classroom,binderclip.png,misscaled,0,zo,kitchen,k2_zo.png,m,1,704,7,4,binderclip.png,k2_zo.png,162183,288467,34,Man
986867,OSSe4,v1,1512,865,1512,982,5-15-2023,10-52-42,1,8,small,laundromat,socks.png,scaled,0,zi,kitchen,k1_zi.png,m,1,685,8,4,socks.png,k1_zi.png,162183,288467,34,Man
986867,OSSe4,v1,1512,865,1512,982,5-15-2023,10-52-42,1,9,large,classroom,notebook.png,misscaled,1,zi,classroom,c5_zi.png,c,1,674,9,3,notebook.png,c5_zi.png,162183,288467,34,Man
986867,OSSe4,v1,1512,865,1512,982,5-15-2023,10-52-42,1,10,large,classroom,clipboard.png,scaled,0,zo,laundromat,l0_zo.png,c,0,677,10,4,clipboard.png,l0_zo.png,162183,288467,34,Man
986867,OSSe4,v1,1512,865,1512,982,5-15-2023,10-52-42,1,11,small,classroom,paperclip.png,scaled,1,zi,classroom,c2_zi.png,c,1,854,11,3,paperclip.png,c2_zi.png,162183,288467,34,Man
986867,OSSe4,v1,1512,865,1512,982,5-15-2023,10-52-42,1,12,large,laundromat,detergent.png,misscaled,1,zi,laundromat,l1_zi.png,m,0,686,12,3,detergent.png,l1_zi.png,162183,288467,34,Man
986867,OSSe4,v1,1512,865,1512,982,5-15-2023,10-52-42,1,13,small,laundromat,coins.png,scaled,0,zi,classroom,c1_zi.png,m,1,704,13,5,coins.png,c1_zi.png,162183,288467,34,Man
986867,OSSe4,v1,1512,865,1512,982,5-15-2023,10-52-42,1,14,large,laundromat,shorts.png,misscaled,0,zi,classroom,c4_zi.png,m,1,790,14,1,shorts.png,c4_zi.png,162183,288467,34,Man
986867,OSSe4,v1,1512,865,1512,982,5-15-2023,10-52-42,1,15,small,bathroom,floss.png,scaled,1,zi,bathroom,b3_zi.png,c,1,693,15,3,floss.png,b3_zi.png,162183,288467,34,Man
657504,OSSe4,v1,1280,881,1280,1024,5-15-2023,7-47-25,3,2,large,bathroom,hairdryer.png,misscaled,1,zi,bathroom,b1_zi.png,c,1,1824,2,4,hairdryer.png,b1_zi.png,192358,440299,45,Woman
657504,OSSe4,v1,1280,881,1280,1024,5-15-2023,7-47-25,3,3,large,kitchen,toaster.png,scaled,0,zo,laundromat,l0_zo.png,m,1,1514,3,3,toaster.png,l0_zo.png,192358,440299,45,Woman
657504,OSSe4,v1,1280,881,1280,1024,5-15-2023,7-47-25,3,5,large,kitchen,kettle.png,scaled,1,zo,kitchen,k2_zo.png,c,1,1688,5,1,kettle.png,k2_zo.png,192358,440299,45,Woman
657504,OSSe4,v1,1280,881,1280,1024,5-15-2023,7-47-25,3,6,small,kitchen,spoon.png,scaled,0,zi,laundromat,l2_zi.png,c,0,1619,6,5,spoon.png,l2_zi.png,192358,440299,45,Woman
657504,OSSe4,v1,1280,881,1280,1024,5-15-2023,7-47-25,3,7,small,bathroom,nailclipper.png,misscaled,0,zo,laundromat,l2_zo.png,c,0,1100,7,4,nailclipper.png,l2_zo.png,192358,440299,45,Woman
657504,OSSe4,v1,1280,881,1280,1024,5-15-2023,7-47-25,3,8,small,laundromat,coins.png,misscaled,1,zo,laundromat,l3_zo.png,c,1,1276,8,4,coins.png,l3_zo.png,192358,440299,45,Woman
657504,OSSe4,v1,1280,881,1280,1024,5-15-2023,7-47-25,3,9,large,classroom,notebook.png,misscaled,1,zi,classroom,c3_zi.png,m,0,1177,9,1,notebook.png,c3_zi.png,192358,440299,45,Woman
657504,OSSe4,v1,1280,881,1280,1024,5-15-2023,7-47-25,3,10,large,laundromat,shirt.png,scaled,1,zo,laundromat,l1_zo.png,c,1,1676,10,1,shirt.png,l1_zo.png,192358,440299,45,Woman
657504,OSSe4,v1,1280,881,1280,1024,5-15-2023,7-47-25,3,11,large,classroom,computer.png,misscaled,0,zi,bathroom,b2_zi.png,m,1,1269,11,5,computer.png,b2_zi.png,192358,440299,45,Woman
