subjID,experimentName,versionName,windowWidth,windowHeight,screenWidth,screenHeight,startDate,startTime,pracTries,trialNum,objectSize,objectCategory,object,misscaled,objectScene1SemanticCongruency,scene1ZoomName,scene1Category,scene1,scene2SizeCong,scene2SemCong,scene2ZoomName,scene2Category,scene2,keyPress,accuracy,RT,experimentTime,totalTime
810980,OSS,v6,1536,746,1536,864,12-14-2022,15-47-14,1,9,large,laundromat,shirt.png,misscaled,0,zi,kitchen,k5_zi.png,0,1,zo,kitchen,k1_zo.png,c,1,1185,63413,146192
810980,OSS,v6,1536,746,1536,864,12-14-2022,15-47-14,1,10,small,kitchen,saltshaker.png,scaled,0,zi,laundromat,l2_zi.png,1,1,zi,laundromat,l0_zi.png,c,1,886,63413,146192
810980,OSS,v6,1536,746,1536,864,12-14-2022,15-47-14,1,11,large,classroom,notebook.png,scaled,1,zo,classroom,c5_zo.png,0,0,zi,bathroom,b3_zi.png,m,1,546,63413,146192
810980,OSS,v6,1536,746,1536,864,12-14-2022,15-47-14,1,12,small,laundromat,coins.png,scaled,1,zi,laundromat,l1_zi.png,0,1,zo,laundromat,l3_zo.png,c,1,905,63413,146192
810980,OSS,v6,1536,746,1536,864,12-14-2022,15-47-14,1,13,large,laundromat,detergent.png,scaled,0,zo,classroom,c3_zo.png,1,0,zo,kitchen,k2_zo.png,m,1,678,63413,146192
810980,OSS,v6,1536,746,1536,864,12-14-2022,15-47-14,1,14,large,kitchen,toaster.png,misscaled,1,zi,kitchen,k3_zi.png,0,1,zo,kitchen,k4_zo.png,c,1,521,63413,146192
810980,OSS,v6,1536,746,1536,864,12-14-2022,15-47-14,1,15,small,laundromat,tidepod.png,misscaled,1,zo,laundromat,l1_zo.png,1,1,zo,laundromat,l4_zo.png,m,0,531,63413,146192
739316,OSS,v6,1920,947,1920,1080,12-14-2022,16-18-50,2,0,large,classroom,powerstrip.png,scaled,1,zo,classroom,c5_zo.png,1,1,zo,classroom,c2_zo.png,c,1,743,65073,229874
739316,OSS,v6,1920,947,1920,1080,12-14-2022,16-18-50,2,1,large,bathroom,tissuebox.png,scaled,0,zo,kitchen,k4_zo.png,0,0,zi,laundromat,l0_zi.png,m,1,1597,65073,229874
739316,OSS,v6,1920,947,1920,1080,12-14-2022,16-18-50,2,2,large,bathroom,loofah.png,misscaled,0,zi,classroom,c3_zi.png,0,1,zo,classroom,c0_zo.png,c,1,553,65073,229874
739316,OSS,v6,1920,947,1920,1080,12-14-2022,16-18-50,2,3,small,classroom,binderclip.png,misscaled,1,zo,classroom,c4_zo.png,0,0,zi,kitchen,k0_zi.png,m,1,786,65073,229874
739316,OSS,v6,1920,947,1920,1080,12-14-2022,16-18-50,2,4,small,laundromat,coins.png,scaled,1,zi,laundromat,l2_zi.png,0,0,zo,kitchen,k5_zo.png,m,1,1181,65073,229874
739316,OSS,v6,1920,947,1920,1080,12-14-2022,16-18-50,2,5,small,classroom,eraser.png,misscaled,0,zo,laundromat,l2_zo.png,0,1,zi,laundromat,l5_zi.png,c,1,619,65073,229874
739316,OSS,v6,1920,947,1920,1080,12-14-2022,16-18-50,2,6,small,laundromat,tidepod.png,scaled,0,zi,bathroom,b0_zi.png,0,1,zo,bathroom,b3_zo.png,m,0,1232,65073,229874
739316,OSS,v6,1920,947,1920,1080,12-14-2022,16-18-50,2,7,small,kitchen,sponge.png,misscaled,0,zo,classroom,c1_zo.png,0,0,zi,laundromat,l4_zi.png,m,1,718,65073,229874
739316,OSS,v6,1920,947,1920,1080,12-14-2022,16-18-50,2,8,small,kitchen,saltshaker.png,misscaled,1,zo,kitchen,k1_zo.png,1,0,zo,laundromat,l4_zo.png,m,1,973,65073,229874
739316,OSS,v6,1920,947,1920,1080,12-14-2022,16-18-50,2,9,small,classroom,paperclip.png,scaled,1,zi,classroom,c5_zi.png,1,1,zi,classroom,c1_zi.png,c,1,725,65073,229874
739316,OSS,v6,1920,947,1920,1080,12-14-2022,16-18-50,2,10,large,classroom,notebook.png,scaled,1,zo,classroom,c3_zo.png,0,1,zi,classroom,c4_zi.png,c,1,814,65073,229874
739316,OSS,v6,1920,947,1920,1080,12-14-2022,16-18-50,2,11,small,laundromat,socks.png,scaled,0,zi,bathroom,b3_zi.png,1,0,zi,kitchen,k2_zi.png,m,1,1153,65073,229874
739316,OSS,v6,1920,947,1920,1080,12-14-2022,16-18-50,2,12,large,bathroom,hairdryer.png,misscaled,1,zi,bathroom,b1_zi.png,0,0,zo,kitchen,k3_zo.png,c,0,1260,65073,229874
739316,OSS,v6,1920,947,1920,1080,12-14-2022,16-18-50,2,13,large,laundromat,detergent.png,misscaled,1,zi,laundromat,l3_zi.png,1,0,zi,kitchen,k4_zi.png,c,0,1134,65073,229874
739316,OSS,v6,1920,947,1920,1080,12-14-2022,16-18-50,2,14,large,laundromat,shorts.png,misscaled,0,zi,classroom,c2_zi.png,1,0,zi,kitchen,k1_zi.png,m,1,925,65073,229874
739316,OSS,v6,1920,947,1920,1080,12-14-2022,16-18-50,2,15,large,classroom,computer.png,scaled,0,zo,bathroom,b4_zo.png,1,0,zo,laundromat,l5_zo.png,m,1,1012,65073,229874
721004,OSS,v6,1920,977,1920,1080,12-14-2022,13-12-37,3,0,large,laundromat,detergent.png,misscaled,0,zi,bathroom,b5_zi.png,0,0,zo,kitchen,k3_zo.png,m,1,706,62099,219244
721004,OSS,v6,1920,977,1920,1080,12-14-2022,13-12-37,3,1,large,classroom,computer.png,scaled,0,zo,laundromat,l5_zo.png,0,0,zi,kitchen,k3_zi.png,m,1,621,62099,219244
721004,OSS,v6,1920,977,1920,1080,12-14-2022,13-12-37,3,2,small,laundromat,tidepod.png,scaled,1,zi,laundromat,l2_zi.png,1,1,zi,laundromat,l4_zi.png,m,0,549,62099,219244
721004,OSS,v6,1920,977,1920,1080,12-14-2022,13-12-37,3,3,small,kitchen,sponge.png,misscaled,1,zo,kitchen,k1_zo.png,0,1,zi,kitchen,k0_zi.png,c,1,828,62099,219244
